row_field,unit,sd,exo_R2,exo_RMSE,pred_lo,pred_hi,true_lo,true_hi,ceiling,note,given_R2,given_RMSE
arrivals / hour,cars,1.244089792462912,0.6806465918949929,0.7030526236410584,-0.001326652218511133,4.92299306828897,0.0,15.0,"high (phi x arrival mixture is a function of building,hour)",,,
duration_h,h,3.1443463320114695,0.34286152749234644,2.5489378721714404,2.332272589699332,9.855899832430909,0.5,14.0,"~rho(arr,dwell)^2 = 0.34",copula edge,0.34339715751013833,2.547898847659836
capacity_kwh,kWh,18.740065459992188,-0.0025150547138717005,18.77039477126092,62.308347468680644,65.07020608745768,40.0,100.0,0 (NEGATIVE CONTROL),drawn per car from battery_mix; no building/month/hour term,,
arrival_soc,%,13.651776370849019,0.0017623846299219537,13.640471385726553,21.83645538413782,25.308495523979236,10.0,86.07646964039,~0 (NEGATIVE CONTROL),"placed on the feasible band; depends on capacity+energy, not clock",,
charge_needed,kWh,9.937853332133844,0.0168709315449197,9.853666325112417,10.99298766851795,16.820616851555673,0.4109443809026949,80.0,"~rho(arr,kwh)^2 = 0.02",copula edge (was ~0 before the 2026-08 fix),0.05654565428649583,9.652793770413966
