site,quantity,n_source,n_generated,source_mean,generated_mean,source_median,generated_median,ks_statistic,ks_pvalue
jpl,arrival_hour,27377,24985,9.137962472554008,8.744416649989994,7.5408333333333335,7.5,0.10091246551269334,2.930454019036916e-116
jpl,departure_hour,27377,24985,15.986262312646868,15.764168501100661,16.442777777777778,16.0,0.11145779844719483,8.415511572430061e-142
jpl,dwell_hours,27377,24985,6.848299840092859,7.019751851110667,7.568333333333333,7.75,0.06232180847025959,1.5003057568274162e-44
jpl,kwh,27377,24985,14.929953548051284,25.460275831130193,11.876,22.42808049604098,0.34810866283805786,0.0
jpl,soc_depart,27377,24985,70.46648705795432,73.94383795294559,70.98464295917715,87.54361474427645,0.24326989808963728,0.0
