source,region,variable,n_source,n_generated,ks_statistic,ks_ci_lo,ks_ci_hi,wasserstein_1,w1_ci_lo,w1_ci_hi,n_boot,bootstrap_seed
acn,occasional_consistent,arrival_hour,17313,1981,0.0672145213176187,0.0628822139616484,0.072529891270833,0.4152489090842747,0.3859017482019533,0.4565261775645712,1000,20260708
acn,occasional_consistent,dwell_hours,17313,1981,0.0988880006687454,0.0919034785583473,0.1062249728861544,0.7298783034977111,0.7008839539582862,0.7632519677624033,1000,20260708
acn,rare_consistent,arrival_hour,4723,380,0.2220912221268819,0.2087469494188573,0.2350067419236212,1.9685635749777437,1.84711741121122,2.0947734398777067,1000,20260708
acn,rare_consistent,dwell_hours,4723,380,0.1208910482855455,0.1086054247411881,0.134113771354068,0.8682430209637289,0.766575792168285,0.9942081097865588,1000,20260708
acn,regular_charger,arrival_hour,18724,3696,0.1906330602389137,0.1833684151691789,0.197629428536286,0.6780511369865941,0.6401437679745893,0.7145971614830421,1000,20260708
acn,regular_charger,dwell_hours,18724,3696,0.1303316067255395,0.1234941254181267,0.1373827175992845,0.8263413650767442,0.800279640468137,0.8591205106707351,1000,20260708
acn_caltech,occasional_consistent,arrival_hour,4658,1573,0.091956854574443,0.0821310062161579,0.1025159430132301,0.7241897241624494,0.6151325718963041,0.8338543845669126,1000,20260708
acn_caltech,occasional_consistent,dwell_hours,4658,1573,0.1145389798928188,0.1089752824949359,0.1291274204541701,0.8951571380118547,0.8379888380615156,0.958756550567278,1000,20260708
acn_caltech,rare_consistent,arrival_hour,2757,594,0.1276988235638942,0.1121950370590196,0.1458344782610288,1.1403626306591488,0.9837225833833032,1.2878461935682954,1000,20260708
acn_caltech,rare_consistent,dwell_hours,2757,594,0.119383900667905,0.1023363852525985,0.1364314160832115,0.833030707062564,0.6864835884028673,1.046017727322595,1000,20260708
acn_caltech,regular_charger,arrival_hour,5361,2778,0.0921806277881653,0.078745634316798,0.1065436197672736,0.3503286654806844,0.2859359245776287,0.427520381002424,1000,20260708
acn_caltech,regular_charger,dwell_hours,5361,2778,0.0981331454311858,0.0893409444983629,0.1110132051215422,0.8160631300587161,0.7620570040770538,0.8785254351672009,1000,20260708
acn_jpl,occasional_consistent,arrival_hour,11702,1982,0.0883194865565857,0.080812688491415,0.096187799665456,0.3154155663998453,0.2644154355937508,0.3736467097466137,1000,20260708
acn_jpl,occasional_consistent,dwell_hours,11702,1982,0.105637802261026,0.1017901693777582,0.1105087644897049,0.714544081732458,0.6635988781203213,0.7645132553402164,1000,20260708
acn_jpl,rare_consistent,arrival_hour,2454,293,0.0479665434437332,0.0455196433488822,0.0663141392057544,0.2349092505746231,0.212514175640276,0.2999566278145094,1000,20260708
acn_jpl,rare_consistent,dwell_hours,2454,293,0.0917774421366801,0.0758850215987827,0.1113475317862318,0.5416289904898569,0.4645781614161698,0.6428182016587196,1000,20260708
acn_jpl,regular_charger,arrival_hour,13168,4290,0.0767137328042552,0.0684360900339028,0.0849951726584472,0.4231369650134078,0.3650863883183919,0.4857416724284306,1000,20260708
acn_jpl,regular_charger,dwell_hours,13168,4290,0.1620902689857731,0.1541904360574621,0.1702938686212532,0.8486228578979169,0.8223577558294329,0.8744396400545472,1000,20260708
acn_office001,occasional_consistent,arrival_hour,187,1890,0.139292080468551,0.0899082562317855,0.2136480349715643,0.670687219219899,0.3414765213998055,1.091645257547463,1000,20260708
acn_office001,occasional_consistent,dwell_hours,187,1890,0.1516113516113516,0.1210771581359816,0.2211300681888917,3.1625465925988805,2.2028104300474385,4.3977272454155605,1000,20260708
acn_office001,rare_consistent,arrival_hour,41,353,0.2387894700476749,0.1462723692392731,0.3851309334623091,0.7823837106643023,0.4614655114504408,1.610653353562573,1000,20260708
acn_office001,rare_consistent,dwell_hours,41,353,0.1676915636011884,0.1676086505907552,0.3384232709182616,0.624261268108432,0.484648483862671,0.985105139263149,1000,20260708
acn_office001,regular_charger,arrival_hour,346,6792,0.0718083838858364,0.0618783063379562,0.1238315052731197,0.1262768975060766,0.1020569497564292,0.2905493528858865,1000,20260708
acn_office001,regular_charger,dwell_hours,346,6792,0.1765737658040401,0.1592327253416123,0.2019359736378058,1.0363908789327134,0.8520601523132985,1.2533282491236208,1000,20260708
elaadnl,occasional_consistent,arrival_hour,5660,254,0.1712987952477671,0.1584012687460004,0.1834896079686153,0.3317351369064734,0.2922651733048612,0.3761854354571075,1000,20260708
elaadnl,occasional_consistent,dwell_hours,5660,254,0.1168094933363011,0.1049719679474694,0.1301448206783339,0.4456315914353461,0.4117702505688335,0.4832003580037821,1000,20260708
elaadnl,regular_commuter,arrival_hour,32549,4697,0.1139866731642863,0.1087330555416251,0.1188117061914146,0.240847750056887,0.2249450072486034,0.2577588215623853,1000,20260708
elaadnl,regular_commuter,dwell_hours,32549,4697,0.1354199681503434,0.1300119679045601,0.1407672906487304,0.4943108677589614,0.4828427448272582,0.5066015838581558,1000,20260708
elaadnl,weekly_consistent,arrival_hour,13623,943,0.1240999778227343,0.1166823752388687,0.1314440466963385,0.1660727321423517,0.1469176919419385,0.1916931135371347,1000,20260708
elaadnl,weekly_consistent,dwell_hours,13623,943,0.1234580125355652,0.1147209502144905,0.1308737799876682,0.4475805059784556,0.428622949944081,0.4658433945821477,1000,20260708
